runIndex,seedKey,studyCondition,controllerMode,organizationMode,coordCouplingAlpha,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.05915637860082305,true,0.99,0.006302469135802485,2,0.07826322016460906,0,0,0,0,0,,,200,,,B3/S23,0
1,167837698,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.0522119341563786,true,0.79,0.1990061728395062,0,0.10571244855967078,0,0,0,0,0,,,200,,,B3/S23,0
2,167837699,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.03960905349794239,true,1,0,0,0.10234310699588477,0,0,0,0,0,,,200,,,B3/S23,0
3,167837700,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
4,167837701,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.0779320987654321,true,1,0,0,0.07169531893004115,0,0,0,0,0,,,200,,,B3/S23,0
5,167837702,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
6,167837703,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
7,167837704,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.014146090534979424,false,0.72,0.5042818930041153,1,0.13298225308641978,0,0,0,0,0,,,200,,,B3/S23,0
8,167837705,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.041666666666666664,true,0.69,0.4336152263374488,4,0.1297247942386831,0,0,0,0,0,,,200,,,B3/S23,0
9,167837706,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.0779320987654321,true,1,0,0,0.09185442386831273,0,0,0,0,0,,,200,,,B3/S23,0
10,167837707,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.033179012345679014,true,0.865,0.17814197530864198,2,0.10908564814814811,0,0,0,0,0,,,200,,,B3/S23,0
11,167837708,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
12,167837709,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.0684156378600823,true,1,0,0,0.07538323045267491,0,0,0,0,0,,,200,,,B3/S23,0
13,167837710,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
14,167837711,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
15,167837712,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.016718106995884774,true,0.75,0.2241255144032921,8,0.13940586419753084,0,0,0,0,0,,,200,,,B3/S23,0
16,167837713,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.05915637860082305,true,1,0,0,0.10670396090534984,0,0,0,0,0,,,200,,,B3/S23,0
17,167837714,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
18,167837715,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.041666666666666664,true,0.995,0.0013395061728395073,1,0.11578060699588479,0,0,0,0,0,,,200,,,B3/S23,0
19,167837716,baseline,SetpointError,Central,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
