runIndex,seedKey,studyCondition,controllerMode,organizationMode,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,baseline,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.125,true,1,0,0,0.04979652777777771,0,0,0,0,0,,,200,,,B3/S23,0
1,167837698,baseline,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.045717592592592594,true,0.825,0.20520833333333338,1,0.08309583333333331,0,0,0,0,0,,,200,,,B3/S23,0
2,167837699,baseline,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.052662037037037035,true,1,0,0,0.07800578703703705,0,0,0,0,0,,,200,,,B3/S23,0
3,167837700,baseline,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0,false,0,4.000000000000003,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
4,167837701,baseline,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.0920138888888889,true,1,0,0,0.07895266203703705,0,0,0,0,0,,,200,,,B3/S23,0
5,167837702,baseline,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0,false,0,4.000000000000003,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
6,167837703,baseline,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0,false,0,4.000000000000003,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
7,167837704,baseline,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.08912037037037036,true,0.98,0.005925925925925925,3,0.07205995370370372,0,0,0,0,0,,,200,,,B3/S23,0
8,167837705,baseline,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.0625,true,0.73,0.7703935185185191,1,0.11939814814814818,0,0,0,0,0,,,200,,,B3/S23,0
9,167837706,baseline,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.07118055555555555,true,1,0,0,0.061978703703703675,0,0,0,0,0,,,200,,,B3/S23,0
