runIndex,seedKey,studyCondition,controllerMode,organizationMode,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.13065843621399176,true,0.99,0.005530864197530849,2,0.05478420781893003,0,0,0,0,0,,,200,,,B3/S23,0
1,167837698,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.10570987654320987,true,0.795,0.21644238683127576,1,0.07743508230452671,0,0,0,0,0,,,200,,,B3/S23,0
2,167837699,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.07253086419753087,true,1,0,0,0.08689408436213993,0,0,0,0,0,,,200,,,B3/S23,0
3,167837700,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
4,167837701,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.10159465020576132,true,1,0,0,0.05849645061728392,0,0,0,0,0,,,200,,,B3/S23,0
5,167837702,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
6,167837703,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
7,167837704,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.059670781893004114,true,0.77,0.4865144032921809,0,0.1104501028806585,0,0,0,0,0,,,200,,,B3/S23,0
8,167837705,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.151131687242801,0,0.15975565843621412,0,0,0,0,0,,,200,,,B3/S23,0
9,167837706,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.05529835390946502,true,1,0,0,0.09292952674897119,0,0,0,0,0,,,200,,,B3/S23,0
10,167837707,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.09645061728395062,true,0.865,0.17814197530864198,2,0.08290895061728397,0,0,0,0,0,,,200,,,B3/S23,0
11,167837708,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
12,167837709,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.1111111111111111,true,1,0,0,0.07729727366255143,0,0,0,0,0,,,200,,,B3/S23,0
13,167837710,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
14,167837711,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
15,167837712,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.065226337448562,0,0.1593261316872429,0,0,0,0,0,,,200,,,B3/S23,0
16,167837713,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.07716049382716049,true,1,0,0,0.1099215534979424,0,0,0,0,0,,,200,,,B3/S23,0
17,167837714,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
18,167837715,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.102880658436214,true,0.995,0.0013395061728395073,1,0.09964763374485601,0,0,0,0,0,,,200,,,B3/S23,0
19,167837716,envNoControl,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0,false,0,3.2000000000000024,0,0.16000000000000011,0,0,0,0,0,,,200,,,B3/S23,0
