runIndex,seedKey,studyCondition,controllerMode,organizationMode,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1463477366255144,true,0.96,0.15458230452674893,2,0.07669948073279302,0.0017091049382716049,0,0,0,0,,,200,,,B3/S23,0
1,167837698,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1352880658436214,true,0.8,0.11890946502057617,10,0.08527684522064932,0.002717335390946502,0,0,0,0,,,200,,,B3/S23,0
2,167837699,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.11085390946502058,true,0.815,0.1357242798353909,3,0.09099447776954234,0.0028022119341563788,0,0,0,0,,,200,,,B3/S23,0
3,167837700,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1345164609053498,true,0.84,0.10639300411522637,7,0.08546736340336829,0.002803497942386831,0,0,0,0,,,200,,,B3/S23,0
4,167837701,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.12525720164609053,true,0.79,0.15146913580246907,11,0.08526595994076873,0.0024858539094650208,0,0,0,0,,,200,,,B3/S23,0
5,167837702,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.14531893004115226,true,0.79,0.17302880658436212,8,0.08539736468853504,0.0030362654320987654,0,0,0,0,,,200,,,B3/S23,0
6,167837703,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.09799382716049383,true,0.905,0.05991563786008231,14,0.0892838476668414,0.002595164609053498,0,0,0,0,,,200,,,B3/S23,0
7,167837704,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.12988683127572018,true,0.975,0.022923868312757195,3,0.08460611201729745,0.0021489197530864196,0,0,0,0,,,200,,,B3/S23,0
8,167837705,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.0985082304526749,true,0.9,0.06228395061728395,5,0.09388071686371433,0.002899948559670782,0,0,0,0,,,200,,,B3/S23,0
9,167837706,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.12217078189300412,true,0.975,0.008497942386831277,5,0.08931378746822455,0.0025282921810699586,0,0,0,0,,,200,,,B3/S23,0
10,167837707,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1286008230452675,true,0.845,0.11714197530864198,6,0.0857558624086882,0.002637602880658436,0,0,0,0,,,200,,,B3/S23,0
11,167837708,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.10468106995884774,true,0.75,0.20792181069958846,4,0.09253884267311648,0.0032098765432098763,0,0,0,0,,,200,,,B3/S23,0
12,167837709,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.12834362139917696,true,0.83,0.12116049382716051,9,0.085202669265282,0.0028948045267489712,0,0,0,0,,,200,,,B3/S23,0
13,167837710,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1206275720164609,true,0.99,0.02222633744855967,0,0.08546549049627901,0.0024344135802469137,0,0,0,0,,,200,,,B3/S23,0
14,167837711,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.113940329218107,true,0.825,0.10886831275720166,6,0.08874712005178502,0.0027430555555555554,0,0,0,0,,,200,,,B3/S23,0
15,167837712,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1087962962962963,true,0.98,0.01333127572016461,2,0.09223764307748768,0.0027443415637860083,0,0,0,0,,,200,,,B3/S23,0
16,167837713,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1044238683127572,true,0.7,0.24034979423868316,4,0.09393898514480084,0.0032574588477366257,0,0,0,0,,,200,,,B3/S23,0
17,167837714,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.13425925925925927,true,0.99,0.01708230452674897,0,0.08404121404367546,0.0023945473251028807,0,0,0,0,,,200,,,B3/S23,0
18,167837715,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.12654320987654322,true,0.77,0.18044444444444446,10,0.09038302395848982,0.0030504115226337447,0,0,0,0,,,200,,,B3/S23,0
19,167837716,homeostatic,SetpointError,Central,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.10416666666666667,true,0.705,0.24003909465020581,7,0.09138740246502536,0.0033487654320987653,0,0,0,0,,,200,,,B3/S23,0
