runIndex,seedKey,studyCondition,controllerMode,organizationMode,coordCouplingAlpha,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.19270833333333334,true,0.865,0.8119351851851851,6,0.05834306941323051,0.0021643518518518518,0,0,0,0,,,200,,,B3/S23,0
1,167837698,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.1730324074074074,true,0.88,0.9049120370370369,4,0.07762008475867443,0.003269675925925926,0,0,0,0,,,200,,,B3/S23,0
2,167837699,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.19270833333333334,true,0.97,0.07735648148148144,3,0.07104484485033039,0.0038194444444444443,0,0,0,0,,,200,,,B3/S23,0
3,167837700,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.1440972222222222,true,0.88,0.536712962962963,7,0.07808189517306192,0.003671875,0,0,0,0,,,200,,,B3/S23,0
4,167837701,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.171875,true,0.83,0.7010509259259258,13,0.07781920462467765,0.002482638888888889,0,0,0,0,,,200,,,B3/S23,0
5,167837702,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.19386574074074073,true,0.9,0.33764814814814814,9,0.07578673235054038,0.0037094907407407406,0,0,0,0,,,200,,,B3/S23,0
6,167837703,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.1556712962962963,true,0.975,0.033620370370370356,4,0.07211183699568943,0.003981481481481482,0,0,0,0,,,200,,,B3/S23,0
7,167837704,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.18229166666666666,true,0.895,0.31475,7,0.06594972907509408,0.0028761574074074076,0,0,0,0,,,200,,,B3/S23,0
8,167837705,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.171875,true,0.995,0.008476851851851853,0,0.07479446809958921,0.004406828703703704,0,0,0,0,,,200,,,B3/S23,0
9,167837706,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.16956018518518517,true,0.95,0.22055555555555548,1,0.0748203909044863,0.00369212962962963,0,0,0,0,,,200,,,B3/S23,0
10,167837707,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.19270833333333334,true,0.91,0.44129166666666686,3,0.07074113421725704,0.0036863425925925926,0,0,0,0,,,200,,,B3/S23,0
11,167837708,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.1753472222222222,true,0.91,0.21313888888888893,9,0.08021687093907248,0.004519675925925926,0,0,0,0,,,200,,,B3/S23,0
12,167837709,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.19212962962962962,true,0.9,0.6158796296296296,5,0.07025360568392931,0.003003472222222222,0,0,0,0,,,200,,,B3/S23,0
13,167837710,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.17824074074074073,true,0.925,0.45035648148148144,1,0.06937414859745995,0.003396990740740741,0,0,0,0,,,200,,,B3/S23,0
14,167837711,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.1880787037037037,true,0.94,0.3101157407407406,2,0.07288117963957383,0.0042274305555555555,0,0,0,0,,,200,,,B3/S23,0
15,167837712,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.16898148148148148,true,0.95,0.18992592592592591,1,0.07699867951732484,0.004233217592592592,0,0,0,0,,,200,,,B3/S23,0
16,167837713,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.1556712962962963,true,0.87,0.40332870370370383,13,0.08211904659343147,0.004241898148148148,0,0,0,0,,,200,,,B3/S23,0
17,167837714,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.16087962962962962,true,0.915,0.3359027777777777,2,0.07360021136394794,0.0033506944444444443,0,0,0,0,,,200,,,B3/S23,0
18,167837715,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.19212962962962962,true,0.89,0.24869907407407416,10,0.0791554515084803,0.0037413194444444442,0,0,0,0,,,200,,,B3/S23,0
19,167837716,homeostatic,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.14988425925925927,true,0.875,0.2102453703703704,8,0.07772533525420768,0.003972800925925926,0,0,0,0,,,200,,,B3/S23,0
