runIndex,seedKey,studyCondition,controllerMode,organizationMode,coordCouplingAlpha,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1463477366255144,true,0.96,0.15458230452674893,2,0.07669948073279302,0.0017091049382716049,0,0,0,0,,,200,,,B3/S23,0
1,167837698,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1352880658436214,true,0.8,0.11890946502057617,10,0.08527684522064932,0.002717335390946502,0,0,0,0,,,200,,,B3/S23,0
2,167837699,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.11085390946502058,true,0.815,0.1357242798353909,3,0.09099447776954234,0.0028022119341563788,0,0,0,0,,,200,,,B3/S23,0
3,167837700,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.22993827160493827,false,0.705,0.46255555555555544,6,0.08217908287889156,0.0015959362139917695,0,1,1,0,kept,35,165,4,941,B3/S234,0
4,167837701,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.12525720164609053,true,0.79,0.15146913580246907,11,0.08526595994076873,0.0024858539094650208,0,0,0,0,,,200,,,B3/S23,0
5,167837702,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.2183641975308642,true,0.615,0.5715205761316872,11,0.08216687040907786,0.0016152263374485598,0,1,1,0,kept,35,165,4,941,B3/S234,0
6,167837703,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.09516460905349794,true,0.875,0.08672839506172837,7,0.08915942642466884,0.002642746913580247,0,1,1,0,kept,35,165,4,608,B3/S23,0
7,167837704,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.12988683127572018,true,0.975,0.022923868312757195,3,0.08460611201729745,0.0021489197530864196,0,0,0,0,,,200,,,B3/S23,0
8,167837705,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.0985082304526749,true,0.9,0.06228395061728395,5,0.09388071686371433,0.002899948559670782,0,0,0,0,,,200,,,B3/S23,0
9,167837706,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.12217078189300412,true,0.975,0.008497942386831277,5,0.08931378746822455,0.0025282921810699586,0,0,0,0,,,200,,,B3/S23,0
10,167837707,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1286008230452675,true,0.845,0.11714197530864198,6,0.0857558624086882,0.002637602880658436,0,0,0,0,,,200,,,B3/S23,0
11,167837708,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1705246913580247,true,0.675,2.2743024691358023,10,0.08829967847524854,0.0018865740740740742,0,1,1,0,kept,35,165,4,601,B23/S23,0
12,167837709,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.12834362139917696,true,0.83,0.12116049382716051,9,0.085202669265282,0.0028948045267489712,0,0,0,0,,,200,,,B3/S23,0
13,167837710,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.22685185185185186,false,0.945,0.1885761316872428,3,0.0754257848978742,0.0016898148148148148,0,1,1,0,kept,35,165,4,988,B34/S23,0
14,167837711,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.20910493827160495,true,0.76,0.2900925925925926,8,0.07811980929083273,0.001665380658436214,0,1,1,0,kept,35,165,4,821,B3/S234,0
15,167837712,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1087962962962963,true,0.98,0.01333127572016461,2,0.09223764307748768,0.0027443415637860083,0,0,0,0,,,200,,,B3/S23,0
16,167837713,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1044238683127572,true,0.7,0.24034979423868316,4,0.09393898514480084,0.0032574588477366257,0,0,0,0,,,200,,,B3/S23,0
17,167837714,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.1514917695473251,true,0.985,0.02216255144032922,1,0.08033402129694726,0.0021875,0,1,1,0,kept,35,165,4,783,B36/S23,0
18,167837715,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.12654320987654322,true,0.77,0.18044444444444446,10,0.09038302395848982,0.0030504115226337447,0,0,0,0,,,200,,,B3/S23,0
19,167837716,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,72,54,200,0.20859053497942387,true,0.665,0.44367489711934155,9,0.08070749543888392,0.0018531378600823046,0,1,1,0,kept,35,165,4,883,B3/S234,0
