runIndex,seedKey,studyCondition,controllerMode,organizationMode,coordCouplingAlpha,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.19270833333333334,true,0.865,0.8119351851851851,6,0.05834306941323051,0.0021643518518518518,0,0,0,0,,,200,,,B3/S23,0
1,167837698,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.1730324074074074,true,0.88,0.9049120370370369,4,0.07762008475867443,0.003269675925925926,0,0,0,0,,,200,,,B3/S23,0
2,167837699,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.19270833333333334,true,0.97,0.07735648148148144,3,0.07104484485033039,0.0038194444444444443,0,0,0,0,,,200,,,B3/S23,0
3,167837700,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.2065972222222222,true,0.885,0.9051574074074075,1,0.07832687130093668,0.0034432870370370372,0,1,1,0,kept,35,165,4,408,B37/S23,0
4,167837701,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.171875,true,0.83,0.7010509259259258,13,0.07781920462467765,0.002482638888888889,0,0,0,0,,,200,,,B3/S23,0
5,167837702,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.17592592592592593,true,0.905,0.3352268518518519,8,0.07898195643011373,0.0036342592592592594,0,1,1,0,kept,35,165,4,363,B3/S23,0
6,167837703,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.25578703703703703,false,0.595,5.151912037037036,41,0.1059596875464831,0.001707175925925926,0,1,1,0,kept,35,165,4,596,B13/S23,0
7,167837704,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.18229166666666666,true,0.895,0.31475,7,0.06594972907509408,0.0028761574074074076,0,0,0,0,,,200,,,B3/S23,0
8,167837705,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.171875,true,0.995,0.008476851851851853,0,0.07479446809958921,0.004406828703703704,0,0,0,0,,,200,,,B3/S23,0
9,167837706,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.16956018518518517,true,0.95,0.22055555555555548,1,0.0748203909044863,0.00369212962962963,0,0,0,0,,,200,,,B3/S23,0
10,167837707,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.19270833333333334,true,0.91,0.44129166666666686,3,0.07074113421725704,0.0036863425925925926,0,0,0,0,,,200,,,B3/S23,0
11,167837708,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.1909722222222222,true,0.925,0.5583055555555556,2,0.07604938195127728,0.0038657407407407408,0,1,1,0,kept,35,165,4,478,B3/S236,0
12,167837709,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.19212962962962962,true,0.9,0.6158796296296296,5,0.07025360568392931,0.003003472222222222,0,0,0,0,,,200,,,B3/S23,0
13,167837710,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.07523148148148148,true,0.845,0.36291666666666667,12,0.09373233534715057,0.006200810185185185,0,1,1,0,kept,35,165,4,251,B3/S3,0
14,167837711,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.20775462962962962,true,0.945,0.21456481481481476,4,0.07251160075121288,0.0040190972222222225,0,1,1,0,kept,35,165,4,396,B3/S23,0
15,167837712,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.16898148148148148,true,0.95,0.18992592592592591,1,0.07699867951732484,0.004233217592592592,0,0,0,0,,,200,,,B3/S23,0
16,167837713,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.1556712962962963,true,0.87,0.40332870370370383,13,0.08211904659343147,0.004241898148148148,0,0,0,0,,,200,,,B3/S23,0
17,167837714,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.06712962962962964,true,0.835,0.2792175925925926,10,0.09180988086837184,0.005598958333333333,0,1,1,0,kept,35,165,4,193,B3/S3,0
18,167837715,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.19212962962962962,true,0.89,0.24869907407407416,10,0.0791554515084803,0.0037413194444444442,0,0,0,0,,,200,,,B3/S23,0
19,167837716,ultrastable,SetpointError,Central,0.3,sustained,30,120,0.55,200,0,homeostat,48,36,200,0.1550925925925926,true,0.935,0.13433796296296296,7,0.07717509238233142,0.004403935185185185,0,1,1,0,kept,35,165,4,357,B3/S23,0
