runIndex,seedKey,studyCondition,controllerMode,organizationMode,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.11882716049382716,true,1,0,0,0.06430516370504714,0,0,0,0,0,,,200,,,B3/S23,0
1,167837698,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.1345164609053498,true,0.94,0.05336831275720165,0,0.08046314589593949,0.00005915637860082304,0,0,0,0,,,200,,,B3/S23,0
2,167837699,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.06944444444444445,true,1,0,0,0.08846265214567019,0,0,0,0,0,,,200,,,B3/S23,0
3,167837700,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.10982510288065844,true,0.99,0.022483539094650208,0,0.07509229433330081,0.00008359053497942387,0,0,0,0,,,200,,,B3/S23,0
4,167837701,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.09876543209876543,true,1,0,0,0.07474470506490061,0,0,0,0,0,,,200,,,B3/S23,0
5,167837702,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.07381687242798354,true,0.97,0.025269547325102885,2,0.09082868212922765,0.00011188271604938272,0,0,0,0,,,200,,,B3/S23,0
6,167837703,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.062242798353909466,true,0.99,0.022997942386831276,0,0.09260353428909479,0.00011188271604938272,0,0,0,0,,,200,,,B3/S23,0
7,167837704,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.12294238683127572,true,0.99,0.012709876543209877,0,0.07589940064206828,0.00007973251028806585,0,0,0,0,,,200,,,B3/S23,0
8,167837705,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.06301440329218107,true,0.89,0.06264814814814816,5,0.09247913231886373,0.00004243827160493827,0,0,0,0,,,200,,,B3/S23,0
9,167837706,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.08256172839506173,true,1,0,0,0.08993322767492241,0,0,0,0,0,,,200,,,B3/S23,0
10,167837707,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.1051954732510288,true,0.995,0.009055555555555556,0,0.0838336805193015,0.00007844650205761316,0,0,0,0,,,200,,,B3/S23,0
11,167837708,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.06172839506172839,true,0.99,0.01605349794238683,0,0.09511079334927947,0.00006815843621399177,0,0,0,0,,,200,,,B3/S23,0
12,167837709,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.13631687242798354,true,1,0,0,0.07261000428523433,0,0,0,0,0,,,200,,,B3/S23,0
13,167837710,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.08101851851851852,true,0.99,0.022997942386831276,0,0.08935819209512572,0.00012217078189300412,0,0,0,0,,,200,,,B3/S23,0
14,167837711,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.10699588477366255,true,0.935,0.036446502057613184,1,0.08644994975288,0.00006044238683127572,0,0,0,0,,,200,,,B3/S23,0
15,167837712,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.09233539094650206,true,0.85,0.0998559670781893,6,0.08947732483121239,0.00010159465020576132,0,0,0,0,,,200,,,B3/S23,0
16,167837713,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.07921810699588477,true,1,0,0,0.09255002010151461,0,0,0,0,0,,,200,,,B3/S23,0
17,167837714,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.12294238683127572,true,0.93,0.060162551440329226,0,0.07832061814001445,0.0000617283950617284,0,0,0,0,,,200,,,B3/S23,0
18,167837715,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.09156378600823045,true,0.945,0.032481481481481486,4,0.09149695291599842,0,0,0,0,0,,,200,,,B3/S23,0
19,167837716,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.0727880658436214,true,0.925,0.06947530864197532,0,0.08652761337050022,0.00014274691358024693,0,0,0,0,,,200,,,B3/S23,0
