runIndex,seedKey,studyCondition,controllerMode,organizationMode,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.19386574074074073,true,1,0,0,0.056983733359147186,0,0,0,0,0,,,200,,,B3/S23,0
1,167837698,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.16608796296296297,true,0.895,0.09708333333333335,3,0.07314523608256454,0.0001388888888888889,0,0,0,0,,,200,,,B3/S23,0
2,167837699,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.10243055555555555,true,1,0,0,0.08393359382380494,0,0,0,0,0,,,200,,,B3/S23,0
3,167837700,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.1556712962962963,true,0.995,0.02,0,0.06217161648735784,0.00011574074074074075,0,0,0,0,,,200,,,B3/S23,0
4,167837701,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.13252314814814814,true,1,0,0,0.0708348348862588,0,0,0,0,0,,,200,,,B3/S23,0
5,167837702,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.10416666666666667,true,0.995,0.02,0,0.07379432563935923,0.00011574074074074075,0,0,0,0,,,200,,,B3/S23,0
6,167837703,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.09953703703703703,true,0.995,0.019421296296296298,0,0.07784691178661966,0.00011284722222222222,0,0,0,0,,,200,,,B3/S23,0
7,167837704,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.19502314814814814,true,0.89,0.06094907407407407,5,0.060081792979888415,0.00014756944444444445,0,0,0,0,,,200,,,B3/S23,0
8,167837705,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.11805555555555555,true,0.975,0.021296296296296296,1,0.09314964487443435,0.0001099537037037037,0,0,0,0,,,200,,,B3/S23,0
9,167837706,homeostatic,ViabilityBand,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.1412037037037037,true,1,0,0,0.06720604344359861,0,0,0,0,0,,,200,,,B3/S23,0
