runIndex,seedKey,studyCondition,controllerMode,organizationMode,coordCouplingAlpha,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.2227366255144033,true,0.755,0.6704855967078188,17,0.01423818503040662,0.004474022633744856,0,0,0,0,,,200,,,B3/S23,0
1,167837698,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.2147633744855967,true,0.895,0.49363374485596717,7,0.015695606849511646,0.0053060699588477365,0,0,0,0,,,200,,,B3/S23,0
2,167837699,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21810699588477367,true,0.89,0.16963580246913576,10,0.014744001803878541,0.00625,0,0,0,0,,,200,,,B3/S23,0
3,167837700,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21193415637860083,true,0.845,0.3934588477366255,14,0.01376582548942238,0.0055015432098765435,0,0,0,0,,,200,,,B3/S23,0
4,167837701,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.2088477366255144,true,0.875,0.6030864197530863,4,0.01845135942172623,0.004916409465020576,0,0,0,0,,,200,,,B3/S23,0
5,167837702,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21373456790123457,true,0.905,0.26485185185185184,7,0.012015535786717761,0.00567772633744856,0,0,0,0,,,200,,,B3/S23,0
6,167837703,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21656378600823045,true,0.925,0.21135185185185187,6,0.012651654528240913,0.006912294238683127,0,0,0,0,,,200,,,B3/S23,0
7,167837704,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.2175925925925926,true,0.875,0.3953847736625513,6,0.014800148298262435,0.0053922325102880656,0,0,0,0,,,200,,,B3/S23,0
8,167837705,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21656378600823045,true,0.965,0.03979423868312752,6,0.01397652473924925,0.007795781893004115,0,0,0,0,,,200,,,B3/S23,0
9,167837706,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.23122427983539096,false,0.93,0.2984897119341563,5,0.014055307212781412,0.006610082304526749,0,0,0,0,,,200,,,B3/S23,0
10,167837707,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21784979423868311,true,0.89,0.4853395061728395,11,0.01414669874893971,0.005721450617283951,0,0,0,0,,,200,,,B3/S23,0
11,167837708,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21604938271604937,true,0.935,0.10011111111111105,5,0.013126142332686363,0.007268518518518519,0,0,0,0,,,200,,,B3/S23,0
12,167837709,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21167695473251028,true,0.86,0.40202057613168724,10,0.014441411299092037,0.004998713991769548,0,0,0,0,,,200,,,B3/S23,0
13,167837710,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.2052469135802469,true,0.89,0.30889917695473246,9,0.015436124356648788,0.0064030349794238686,0,0,0,0,,,200,,,B3/S23,0
14,167837711,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21656378600823045,true,0.895,0.20170987654320985,13,0.013251363564855439,0.006503343621399177,0,0,0,0,,,200,,,B3/S23,0
15,167837712,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21193415637860083,true,0.94,0.1912242798353909,4,0.013515858901353013,0.007159207818930041,0,0,0,0,,,200,,,B3/S23,0
16,167837713,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.2147633744855967,true,0.915,0.13934773662551433,10,0.01617360469985333,0.006647376543209876,0,0,0,0,,,200,,,B3/S23,0
17,167837714,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.23148148148148148,false,0.86,0.2964279835390946,12,0.013404723560357963,0.006532921810699589,0,0,0,0,,,200,,,B3/S23,0
18,167837715,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.2132201646090535,true,0.915,0.16918312757201642,8,0.013821773571339126,0.006005658436213992,0,0,0,0,,,200,,,B3/S23,0
19,167837716,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.19444444444444445,true,0.955,0.086477366255144,5,0.013275412240275388,0.006589506172839506,0,0,0,0,,,200,,,B3/S23,0
