runIndex,seedKey,studyCondition,controllerMode,organizationMode,coordCouplingAlpha,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.22685185185185186,false,0.675,1.3369675925925937,14,0.020927487568164715,0.0033680555555555556,0,0,0,0,,,200,,,B3/S23,0
1,167837698,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.2175925925925926,true,0.73,1.4948194444444434,10,0.023894857762429215,0.0033130787037037035,0,0,0,0,,,200,,,B3/S23,0
2,167837699,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.20833333333333334,true,0.87,0.25920833333333326,13,0.01785579118912331,0.005240162037037037,0,0,0,0,,,200,,,B3/S23,0
3,167837700,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.22164351851851852,false,0.72,1.3222268518518525,13,0.02715328320946978,0.0038020833333333335,0,0,0,0,,,200,,,B3/S23,0
4,167837701,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.24074074074074073,false,0.74,1.1335787037037044,13,0.02190916932676946,0.0037528935185185187,0,0,0,0,,,200,,,B3/S23,0
5,167837702,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.21412037037037038,true,0.79,0.7165740740740739,15,0.019811726678088525,0.004215856481481482,0,0,0,0,,,200,,,B3/S23,0
6,167837703,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.21585648148148148,true,0.82,0.5090092592592591,17,0.016454416167132228,0.005445601851851852,0,0,0,0,,,200,,,B3/S23,0
7,167837704,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.21296296296296297,true,0.77,1.3013240740740737,6,0.025570572471957962,0.0043287037037037035,0,0,0,0,,,200,,,B3/S23,0
8,167837705,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.203125,true,0.84,0.5481018518518519,13,0.019014675684569896,0.005416666666666667,0,0,0,0,,,200,,,B3/S23,0
9,167837706,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.2193287037037037,true,0.79,0.5605925925925922,12,0.018779882996747353,0.004811921296296296,0,0,0,0,,,200,,,B3/S23,0
10,167837707,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.2494212962962963,false,0.825,0.8104490740740742,16,0.019551392726330736,0.004441550925925926,0,0,0,0,,,200,,,B3/S23,0
11,167837708,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.21469907407407407,true,0.84,0.6528472222222221,9,0.01884939695067094,0.005118634259259259,0,0,0,0,,,200,,,B3/S23,0
12,167837709,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.2332175925925926,false,0.775,1.0955092592592592,14,0.021759546790150942,0.003648726851851852,0,0,0,0,,,200,,,B3/S23,0
13,167837710,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.22511574074074073,true,0.795,0.9566712962962963,13,0.021524404865137202,0.0044444444444444444,0,0,0,0,,,200,,,B3/S23,0
14,167837711,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.22800925925925927,true,0.755,0.973972222222222,14,0.02144569054164796,0.004635416666666667,0,0,0,0,,,200,,,B3/S23,0
15,167837712,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.2065972222222222,true,0.86,0.4130046296296295,7,0.01765671935670468,0.005107060185185185,0,0,0,0,,,200,,,B3/S23,0
16,167837713,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.23668981481481483,false,0.77,0.9387453703703701,16,0.020781962692291,0.004560185185185185,0,0,0,0,,,200,,,B3/S23,0
17,167837714,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.23206018518518517,false,0.79,0.7842824074074072,13,0.015850110143620724,0.004146412037037037,0,0,0,0,,,200,,,B3/S23,0
18,167837715,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.2222222222222222,true,0.84,0.5790416666666665,13,0.017828935293393407,0.005054976851851852,0,0,0,0,,,200,,,B3/S23,0
19,167837716,homeostatic,SetpointError,Coordinated,0,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.2193287037037037,true,0.835,0.6396018518518517,12,0.01739931515729527,0.004314236111111111,0,0,0,0,,,200,,,B3/S23,0
