runIndex,seedKey,studyCondition,controllerMode,organizationMode,coordCouplingAlpha,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.2101337448559671,true,0.82,0.48947325102880646,13,0.015599018605191434,0.003361625514403292,1,0,0,0,,,200,,,B3/S23,0
1,167837698,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.20627572016460904,true,0.92,0.36946707818930036,2,0.018703958861617524,0.004529320987654321,1,0,0,0,,,200,,,B3/S23,0
2,167837699,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.20164609053497942,true,0.97,0.0551728395061728,6,0.015414387628018276,0.0058757716049382715,1,0,0,0,,,200,,,B3/S23,0
3,167837700,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.2227366255144033,true,0.915,0.2613786008230452,4,0.016322072517039907,0.005007716049382716,1,0,0,0,,,200,,,B3/S23,0
4,167837701,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21219135802469136,true,0.9,0.4423971193415638,4,0.01953740389411941,0.00428369341563786,1,0,0,0,,,200,,,B3/S23,0
5,167837702,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.20190329218106995,true,0.95,0.12473662551440332,1,0.01696501981296639,0.005882201646090535,1,0,0,0,,,200,,,B3/S23,0
6,167837703,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.2183641975308642,true,0.955,0.1127119341563786,4,0.016092830624130444,0.006448045267489712,1,0,0,0,,,200,,,B3/S23,0
7,167837704,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21064814814814814,true,0.905,0.30523251028806575,7,0.018127140076639157,0.0051736111111111115,1,0,0,0,,,200,,,B3/S23,0
8,167837705,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21862139917695472,true,0.97,0.06995061728395059,1,0.017420817856807394,0.006881430041152263,1,0,0,0,,,200,,,B3/S23,0
9,167837706,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.19804526748971193,true,0.95,0.1567695473251029,3,0.017437832302517716,0.005685442386831276,1,0,0,0,,,200,,,B3/S23,0
10,167837707,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.22479423868312756,false,0.9,0.24421193415637854,8,0.016938002491229998,0.005489969135802469,1,0,0,0,,,200,,,B3/S23,0
11,167837708,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.20318930041152264,true,0.97,0.10210082304526745,2,0.016519495407394117,0.006597222222222222,1,0,0,0,,,200,,,B3/S23,0
12,167837709,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.2044753086419753,true,0.945,0.19657201646090533,2,0.017201598952740853,0.005150462962962963,1,0,0,0,,,200,,,B3/S23,0
13,167837710,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.20833333333333334,true,0.97,0.07663786008230451,3,0.013234224574683697,0.005452674897119342,1,0,0,0,,,200,,,B3/S23,0
14,167837711,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.205761316872428,true,0.955,0.10859670781893005,5,0.015965067175565208,0.005994084362139918,1,0,0,0,,,200,,,B3/S23,0
15,167837712,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.21270576131687244,true,0.935,0.1788148148148148,6,0.019340770029574624,0.006484053497942387,1,0,0,0,,,200,,,B3/S23,0
16,167837713,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.20421810699588477,true,0.955,0.05601028806584363,6,0.018034464579191622,0.006168981481481482,1,0,0,0,,,200,,,B3/S23,0
17,167837714,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.20910493827160495,true,0.955,0.10885390946502056,4,0.014459311319068677,0.005790895061728395,1,0,0,0,,,200,,,B3/S23,0
18,167837715,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.2101337448559671,true,0.965,0.11195061728395062,4,0.016019654830986725,0.00527391975308642,1,0,0,0,,,200,,,B3/S23,0
19,167837716,homeostatic,SetpointError,Coordinated,0.3,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.209619341563786,true,0.965,0.13598765432098764,2,0.017236037747960297,0.006040380658436214,1,0,0,0,,,200,,,B3/S23,0
