runIndex,seedKey,studyCondition,controllerMode,organizationMode,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,homeostatic,SetpointError,Coordinated,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.24131944444444445,true,1,0,0,0.026136975819222797,0.002595486111111111,1,0,0,0,,,200,,,B3/S23,0
1,167837698,homeostatic,SetpointError,Coordinated,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.2013888888888889,true,0.995,0.0037962962962962976,0,0.029200998951074007,0.0029658564814814816,1,0,0,0,,,200,,,B3/S23,0
2,167837699,homeostatic,SetpointError,Coordinated,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.21585648148148148,true,1,0,0,0.019367858563664034,0.004247685185185185,1,0,0,0,,,200,,,B3/S23,0
3,167837700,homeostatic,SetpointError,Coordinated,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.20601851851851852,true,0.995,0.02,0,0.026590094926544513,0.003234953703703704,1,0,0,0,,,200,,,B3/S23,0
4,167837701,homeostatic,SetpointError,Coordinated,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.20891203703703703,true,1,0,0,0.025024755799409073,0.0021614583333333334,1,0,0,0,,,200,,,B3/S23,0
5,167837702,homeostatic,SetpointError,Coordinated,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.20775462962962962,true,0.995,0.02,0,0.020851801898791024,0.0037094907407407406,1,0,0,0,,,200,,,B3/S23,0
6,167837703,homeostatic,SetpointError,Coordinated,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.21875,true,0.995,0.019421296296296298,0,0.02190779475587905,0.004797453703703704,1,0,0,0,,,200,,,B3/S23,0
7,167837704,homeostatic,SetpointError,Coordinated,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.2152777777777778,true,0.995,0.004375,0,0.028129357431711376,0.003833912037037037,1,0,0,0,,,200,,,B3/S23,0
8,167837705,homeostatic,SetpointError,Coordinated,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.2025462962962963,true,0.995,0.012476851851851854,0,0.01963064581009865,0.0046846064814814814,1,0,0,0,,,200,,,B3/S23,0
9,167837706,homeostatic,SetpointError,Coordinated,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.21296296296296297,true,1,0,0,0.023924158404249538,0.0042824074074074075,1,0,0,0,,,200,,,B3/S23,0
