runIndex,seedKey,studyCondition,controllerMode,organizationMode,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,homeostatic,SetpointError,Local,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.22685185185185186,true,1,0,0,0.020927487568164715,0.0033680555555555556,0,0,0,0,,,200,,,B3/S23,0
1,167837698,homeostatic,SetpointError,Local,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.2175925925925926,true,0.995,0.0037962962962962976,0,0.023894857762429215,0.0033130787037037035,0,0,0,0,,,200,,,B3/S23,0
2,167837699,homeostatic,SetpointError,Local,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.20833333333333334,true,1,0,0,0.01785579118912331,0.005240162037037037,0,0,0,0,,,200,,,B3/S23,0
3,167837700,homeostatic,SetpointError,Local,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.22164351851851852,true,0.995,0.02,0,0.02715328320946978,0.0038020833333333335,0,0,0,0,,,200,,,B3/S23,0
4,167837701,homeostatic,SetpointError,Local,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.24074074074074073,true,1,0,0,0.02190916932676946,0.0037528935185185187,0,0,0,0,,,200,,,B3/S23,0
5,167837702,homeostatic,SetpointError,Local,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.21412037037037038,true,0.995,0.02,0,0.019811726678088525,0.004215856481481482,0,0,0,0,,,200,,,B3/S23,0
6,167837703,homeostatic,SetpointError,Local,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.21585648148148148,true,0.995,0.019421296296296298,0,0.016454416167132228,0.005445601851851852,0,0,0,0,,,200,,,B3/S23,0
7,167837704,homeostatic,SetpointError,Local,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.21296296296296297,true,0.995,0.004375,0,0.025570572471957962,0.0043287037037037035,0,0,0,0,,,200,,,B3/S23,0
8,167837705,homeostatic,SetpointError,Local,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.203125,true,0.995,0.012476851851851854,0,0.019014675684569896,0.005416666666666667,0,0,0,0,,,200,,,B3/S23,0
9,167837706,homeostatic,SetpointError,Local,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.2193287037037037,true,1,0,0,0.018779882996747353,0.004811921296296296,0,0,0,0,,,200,,,B3/S23,0
